/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Standard
  Data      : 000_2_2
  File Name : 000_2_2.RAW

# Profile Datafile
          comment             =  
          date & time         = 25-07-30 14:24:01 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =   10.000 -   70.000 
          scan mode           = Continuous Scan 
          scan speed          =   3.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.40 (sec) 

# Data      [ Total No. = 3001 ]
  <2Theta>   <   I   >
    10.0000       492
    10.0200       544
    10.0400       508
    10.0600       498
    10.0800       502
    10.1000       498
    10.1200       498
    10.1400       492
    10.1600       526
    10.1800       446
    10.2000       468
    10.2200       458
    10.2400       482
    10.2600       466
    10.2800       476
    10.3000       486
    10.3200       508
    10.3400       468
    10.3600       432
    10.3800       464
    10.4000       410
    10.4200       438
    10.4400       462
    10.4600       424
    10.4800       404
    10.5000       406
    10.5200       414
    10.5400       398
    10.5600       438
    10.5800       434
    10.6000       452
    10.6200       440
    10.6400       408
    10.6600       416
    10.6800       458
    10.7000       418
    10.7200       448
    10.7400       418
    10.7600       410
    10.7800       396
    10.8000       402
    10.8200       460
    10.8400       458
    10.8600       448
    10.8800       426
    10.9000       372
    10.9200       454
    10.9400       440
    10.9600       418
    10.9800       424
    11.0000       436
    11.0200       460
    11.0400       398
    11.0600       430
    11.0800       422
    11.1000       436
    11.1200       396
    11.1400       430
    11.1600       388
    11.1800       394
    11.2000       434
    11.2200       406
    11.2400       388
    11.2600       390
    11.2800       394
    11.3000       406
    11.3200       398
    11.3400       426
    11.3600       394
    11.3800       426
    11.4000       390
    11.4200       422
    11.4400       406
    11.4600       388
    11.4800       444
    11.5000       408
    11.5200       416
    11.5400       434
    11.5600       376
    11.5800       446
    11.6000       414
    11.6200       428
    11.6400       378
    11.6600       430
    11.6800       388
    11.7000       384
    11.7200       362
    11.7400       448
    11.7600       426
    11.7800       360
    11.8000       388
    11.8200       376
    11.8400       412
    11.8600       422
    11.8800       372
    11.9000       392
    11.9200       410
    11.9400       418
    11.9600       428
    11.9800       418
    12.0000       424
    12.0200       398
    12.0400       440
    12.0600       402
    12.0800       404
    12.1000       398
    12.1200       400
    12.1400       412
    12.1600       430
    12.1800       434
    12.2000       376
    12.2200       376
    12.2400       420
    12.2600       380
    12.2800       384
    12.3000       388
    12.3200       388
    12.3400       414
    12.3600       396
    12.3800       382
    12.4000       426
    12.4200       398
    12.4400       348
    12.4600       406
    12.4800       388
    12.5000       408
    12.5200       412
    12.5400       418
    12.5600       410
    12.5800       374
    12.6000       384
    12.6200       414
    12.6400       378
    12.6600       370
    12.6800       378
    12.7000       442
    12.7200       432
    12.7400       432
    12.7600       402
    12.7800       384
    12.8000       394
    12.8200       386
    12.8400       388
    12.8600       374
    12.8800       404
    12.9000       414
    12.9200       410
    12.9400       408
    12.9600       416
    12.9800       414
    13.0000       392
    13.0200       434
    13.0400       398
    13.0600       374
    13.0800       404
    13.1000       398
    13.1200       402
    13.1400       438
    13.1600       420
    13.1800       428
    13.2000       382
    13.2200       400
    13.2400       458
    13.2600       450
    13.2800       422
    13.3000       448
    13.3200       398
    13.3400       408
    13.3600       414
    13.3800       382
    13.4000       446
    13.4200       420
    13.4400       404
    13.4600       404
    13.4800       424
    13.5000       390
    13.5200       396
    13.5400       386
    13.5600       380
    13.5800       428
    13.6000       436
    13.6200       444
    13.6400       414
    13.6600       402
    13.6800       358
    13.7000       400
    13.7200       388
    13.7400       418
    13.7600       404
    13.7800       438
    13.8000       386
    13.8200       416
    13.8400       394
    13.8600       420
    13.8800       440
    13.9000       390
    13.9200       406
    13.9400       374
    13.9600       400
    13.9800       396
    14.0000       426
    14.0200       408
    14.0400       418
    14.0600       414
    14.0800       436
    14.1000       432
    14.1200       450
    14.1400       378
    14.1600       466
    14.1800       450
    14.2000       422
    14.2200       442
    14.2400       450
    14.2600       458
    14.2800       444
    14.3000       412
    14.3200       436
    14.3400       418
    14.3600       430
    14.3800       424
    14.4000       434
    14.4200       450
    14.4400       432
    14.4600       368
    14.4800       440
    14.5000       454
    14.5200       488
    14.5400       438
    14.5600       490
    14.5800       418
    14.6000       414
    14.6200       426
    14.6400       430
    14.6600       440
    14.6800       444
    14.7000       472
    14.7200       406
    14.7400       434
    14.7600       450
    14.7800       434
    14.8000       488
    14.8200       446
    14.8400       448
    14.8600       406
    14.8800       398
    14.9000       470
    14.9200       450
    14.9400       446
    14.9600       418
    14.9800       434
    15.0000       470
    15.0200       458
    15.0400       450
    15.0600       448
    15.0800       414
    15.1000       420
    15.1200       452
    15.1400       468
    15.1600       434
    15.1800       418
    15.2000       428
    15.2200       434
    15.2400       474
    15.2600       452
    15.2800       442
    15.3000       470
    15.3200       438
    15.3400       426
    15.3600       450
    15.3800       426
    15.4000       446
    15.4200       480
    15.4400       426
    15.4600       424
    15.4800       434
    15.5000       430
    15.5200       442
    15.5400       486
    15.5600       444
    15.5800       490
    15.6000       462
    15.6200       446
    15.6400       448
    15.6600       464
    15.6800       434
    15.7000       478
    15.7200       434
    15.7400       406
    15.7600       458
    15.7800       456
    15.8000       436
    15.8200       442
    15.8400       456
    15.8600       448
    15.8800       490
    15.9000       476
    15.9200       472
    15.9400       462
    15.9600       440
    15.9800       442
    16.0000       440
    16.0200       418
    16.0400       432
    16.0600       462
    16.0800       426
    16.1000       464
    16.1200       444
    16.1400       446
    16.1600       432
    16.1800       410
    16.2000       436
    16.2200       456
    16.2400       442
    16.2600       438
    16.2800       482
    16.3000       464
    16.3200       470
    16.3400       454
    16.3600       432
    16.3800       442
    16.4000       442
    16.4200       464
