/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : Standard
  Data      : nmo
  File Name : nmo.RAW

# Profile Datafile
          comment             =  
          date & time         = 25-12-03 13:18:58 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 1.00000 (deg) 
          receiving slit      = 0.30000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =   10.000 -   70.000 
          scan mode           = Continuous Scan 
          scan speed          =   3.0000 (deg/min) 
          sampling pitch      =   0.0200 (deg) 
          preset time         =   0.40 (sec) 

# Data      [ Total No. = 3001 ]
  <2Theta>   <   I   >
    10.0000       466
    10.0200       506
    10.0400       514
    10.0600       524
    10.0800       466
    10.1000       498
    10.1200       464
    10.1400       434
    10.1600       480
    10.1800       506
    10.2000       500
    10.2200       498
    10.2400       454
    10.2600       486
    10.2800       474
    10.3000       498
    10.3200       424
    10.3400       482
    10.3600       456
    10.3800       472
    10.4000       434
    10.4200       480
    10.4400       420
    10.4600       480
    10.4800       418
    10.5000       464
    10.5200       464
    10.5400       444
    10.5600       420
    10.5800       458
    10.6000       424
    10.6200       400
    10.6400       420
    10.6600       450
    10.6800       470
    10.7000       474
    10.7200       428
    10.7400       444
    10.7600       440
    10.7800       470
    10.8000       468
    10.8200       438
    10.8400       420
    10.8600       438
    10.8800       430
    10.9000       450
    10.9200       380
    10.9400       476
    10.9600       430
    10.9800       448
    11.0000       412
    11.0200       414
    11.0400       388
    11.0600       426
    11.0800       408
    11.1000       448
    11.1200       460
    11.1400       392
    11.1600       430
    11.1800       474
    11.2000       484
    11.2200       440
    11.2400       410
    11.2600       478
    11.2800       442
    11.3000       466
    11.3200       442
    11.3400       424
    11.3600       460
    11.3800       436
    11.4000       454
    11.4200       478
    11.4400       442
    11.4600       400
    11.4800       424
    11.5000       458
    11.5200       452
    11.5400       458
    11.5600       450
    11.5800       468
    11.6000       478
    11.6200       432
    11.6400       440
    11.6600       474
    11.6800       452
    11.7000       450
    11.7200       446
    11.7400       480
    11.7600       470
    11.7800       468
    11.8000       450
    11.8200       496
    11.8400       470
    11.8600       474
    11.8800       498
    11.9000       494
    11.9200       474
    11.9400       464
    11.9600       432
    11.9800       488
    12.0000       490
    12.0200       488
    12.0400       460
    12.0600       530
    12.0800       476
    12.1000       584
    12.1200       544
    12.1400       502
    12.1600       498
    12.1800       532
    12.2000       526
    12.2200       516
    12.2400       514
    12.2600       564
    12.2800       520
    12.3000       504
    12.3200       532
    12.3400       552
    12.3600       564
    12.3800       540
    12.4000       558
    12.4200       546
    12.4400       542
    12.4600       508
    12.4800       524
    12.5000       574
    12.5200       534
    12.5400       592
    12.5600       520
    12.5800       548
    12.6000       510
    12.6200       496
    12.6400       568
    12.6600       498
    12.6800       520
    12.7000       454
    12.7200       510
    12.7400       532
    12.7600       484
    12.7800       506
    12.8000       528
    12.8200       492
    12.8400       458
    12.8600       486
    12.8800       500
    12.9000       472
    12.9200       468
    12.9400       478
    12.9600       452
    12.9800       470
    13.0000       506
    13.0200       474
    13.0400       488
    13.0600       460
    13.0800       478
    13.1000       496
    13.1200       510
    13.1400       456
    13.1600       442
    13.1800       456
    13.2000       466
    13.2200       460
    13.2400       460
    13.2600       460
    13.2800       424
    13.3000       476
    13.3200       446
    13.3400       466
    13.3600       418
    13.3800       440
    13.4000       420
    13.4200       452
    13.4400       434
    13.4600       416
    13.4800       474
    13.5000       458
    13.5200       480
    13.5400       492
    13.5600       444
    13.5800       452
    13.6000       504
    13.6200       444
    13.6400       448
    13.6600       438
    13.6800       444
    13.7000       390
    13.7200       446
    13.7400       442
    13.7600       450
    13.7800       444
    13.8000       452
    13.8200       434
    13.8400       426
    13.8600       468
    13.8800       428
    13.9000       434
    13.9200       462
    13.9400       440
    13.9600       460
    13.9800       464
    14.0000       420
    14.0200       438
    14.0400       434
    14.0600       440
    14.0800       460
    14.1000       440
    14.1200       434
    14.1400       414
    14.1600       442
    14.1800       418
    14.2000       438
    14.2200       408
    14.2400       428
    14.2600       452
    14.2800       430
    14.3000       436
    14.3200       460
    14.3400       436
    14.3600       450
    14.3800       398
    14.4000       450
    14.4200       484
    14.4400       452
    14.4600       422
    14.4800       414
    14.5000       410
    14.5200       428
    14.5400       470
    14.5600       440
    14.5800       466
    14.6000       412
    14.6200       406
    14.6400       420
    14.6600       394
    14.6800       412
    14.7000       482
    14.7200       492
    14.7400       474
    14.7600       466
    14.7800       438
    14.8000       466
    14.8200       480
    14.8400       438
    14.8600       446
    14.8800       472
    14.9000       440
    14.9200       458
    14.9400       412
    14.9600       428
    14.9800       466
    15.0000       442
    15.0200       436
    15.0400       394
    15.0600       434
    15.0800       474
    15.1000       420
    15.1200       428
    15.1400       448
    15.1600       448
    15.1800       472
    15.2000       448
    15.2200       456
    15.2400       478
    15.2600       470
    15.2800       452
    15.3000       434
    15.3200       430
    15.3400       428
    15.3600       420
    15.3800       442
    15.4000       460
    15.4200       474
    15.4400       428
    15.4600       426
    15.4800       454
    15.5000       474
    15.5200       470
    15.5400       476
    15.5600       462
    15.5800       470
    15.6000       462
    15.6200       404
    15.6400       448
    15.6600       460
    15.6800       474
    15.7000       412
    15.7200       460
    15.7400       436
    15.7600       424
    15.7800       490
    15.8000       446
    15.8200       480
    15.8400       442
    15.8600       436
    15.8800       484
    15.9000       476
    15.9200       446
    15.9400       428
    15.9600       460
    15.9800       456
    16.0000       454
    16.0200       468
    16.0400       440
    16.0600       480
    16.0800       460
    16.1000       480
    16.1200       482
    16.1400       442
    16.1600       516
    16.1800       432
    16.2000       452
    16.2200       500
    16.2400       468
    16.2600       484
    16.2800       484
    16.3000       478
    16.3200       454
    16.3400       432
    16.3600       506
    16.3800       456
    16.4000       464
    16.4200       462
    16.4400       448
    16.4600       482
    16.4800       452
    16.5000       450
    16.5200       492
    16.5400       472
    16.5600       466
    16.5800       458
    16.6000       418
    16.6200       450
    16.6400       476
    16.6600       460
    16.6800       456
    16.7000       440
    16.7200       470
    16.7400       448
    16.7600       454
    16.7800       460
    16.8000       462
    16.8200       412
    16.8400       462
    16.8600       456
    16.8800       432
    16.9000       470
    16.9200       478
    16.9400       474
    16.9600       476
    16.9800       446
    17.0000       464
    17.0200       456
    17.0400       458
    17.0600       526
    17.0800       488
    17.1000       490
    17.1200       438
    17.1400       500
    17.1600       468
    17.1800       474
    17.2000       434
    17.2200       468
    17.2400       482
    17.2600       480
    17.2800       462
    17.3000       468
    17.3200       474
    17.3400       432
    17.3600       466
    17.3800       474
    17.4000       498
    17.4200       474
    17.4400       482
    17.4600       500
    17.4800       472
    17.5000       442
    17.5200       492
    17.5400       456
    17.5600       498
    17.5800       528
    17.6000       506
    17.6200       466
    17.6400       462
    17.6600       488
    17.6800       488
    17.7000       466
    17.7200       448
    17.7400       492
    17.7600       482
    17.7800       502
    17.8000       538
    17.8200       454
    17.8400       528
    17.8600       460
    17.8800       530
    17.9000       480
    17.9200       490
    17.9400       466
    17.9600       468
    17.9800       452
    18.0000       436
    18.0200       524
    18.0400       484
    18.0600       458
    18.0800       460
    18.1000       482
    18.1200       516
    18.1400       460
    18.1600       466
    18.1800       490
    18.2000       476
    18.2200       442
    18.2400       476
    18.2600       506
    18.2800       498
    18.3000       498
    18.3200       478
    18.3400       504
    18.3600       466
    18.3800       506
    18.4000       462
    18.4200       510
    18.4400       466
    18.4600       514
    18.4800       490
    18.5000       458
    18.5200       504
    18.5400       482
    18.5600       506
    18.5800       500
    18.6000       462
    18.6200       478
    18.6400       470
    18.6600       528
    18.6800       522
    18.7000       456
    18.7200       490
    18.7400       486
    18.7600       488
    18.7800       482
    18.8000       520
    18.8200       492
    18.8400       508
    18.8600       524
    18.8800       500
    18.9000       496
    18.9200       472
    18.9400       468
    18.9600       492
    18.9800       496
    19.0000       462
    19.0200       498
    19.0400       512
    19.0600       494
    19.0800       524
    19.1000       488
    19.1200       484
    19.1400       518
    19.1600       492
    19.1800       512
    19.2000       520
    19.2200       510
    19.2400       510
    19.2600       508
    19.2800       536
    19.3000       494
    19.3200       506
    19.3400       502
    19.3600       534
    19.3800       556
    19.4000       508
    19.4200       538
    19.4400       508
    19.4600       548
    19.4800       522
    19.5000       528
    19.5200       534
    19.5400       482
    19.5600       538
    19.5800       520
    19.6000       516
    19.6200       542
    19.6400       534
    19.6600       516
    19.6800       488
    19.7000       494
    19.7200       560
    19.7400       524
    19.7600       544
    19.7800       488
    19.8000       582
    19.8200       558
    19.8400       542
    19.8600       590
    19.8800       544
    19.9000       496
    19.9200       496
    19.9400       508
    19.9600       544
    19.9800       534
    20.0000       518
    20.0200       552
    20.0400       546
    20.0600       540
    20.0800       518
    20.1000       520
    20.1200       520
    20.1400       524
    20.1600       504
    20.1800       584
    20.2000       558
    20.2200       540
    20.2400       542
    20.2600       462
    20.2800       586
    20.3000       556
    20.3200       524
    20.3400       526
    20.3600       508
    20.3800       482
    20.4000       574
    20.4200       524
    20.4400       518
    20.4600       532
    20.4800       514
    20.5000       556
    20.5200       524
    20.5400       558
    20.5600       558
    20.5800       544
    20.6000       530
    20.6200       530
    20.6400       532
    20.6600       548
    20.6800       528
    20.7000       538
    20.7200       540
    20.7400       500
    20.7600       546
    20.7800       512
    20.8000       518
    20.8200       554
    20.8400       552
    20.8600       592
    20.8800       488
    20.9000       550
    20.9200       520
    20.9400       588
    20.9600       512
    20.9800       530
    21.0000       532
    21.0200       576
    21.0400       504
    21.0600       576
    21.0800       550
    21.1000       542
    21.1200       592
    21.1400       540
    21.1600       560
    21.1800       502
    21.2000       552
    21.2200       538
    21.2400       498
    21.2600       532
    21.2800       546
    21.3000       530
    21.3200       510
    21.3400       536
    21.3600       540
    21.3800       538
    21.4000       516
    21.4200       540
    21.4400       532
    21.4600       596
    21.4800       564
    21.5000       544
    21.5200       528
    21.5400       546
    21.5600       574
    21.5800       536
    21.6000       522
    21.6200       546
    21.6400       554
    21.6600       572
    21.6800       568
    21.7000       514
    21.7200       556
    21.7400       536
    21.7600       566
    21.7800       586
    21.8000       554
    21.8200       562
    21.8400       538
    21.8600       574
    21.8800       568
    21.9000       518
    21.9200       592
    21.9400       526
    21.9600       568
    21.9800       534
    22.0000       522
    22.0200       562
    22.0400       550
    22.0600       614
    22.0800       550
    22.1000       552
    22.1200       550
