V,mA
0.37808,-4.52752
0.37755,-4.57333
0.37656,-4.61811
0.37554,-4.66499
0.3746,-4.67092
0.37358,-4.66164
0.37254,-4.65305
0.37156,-4.61156
0.37056,-4.57011
0.36955,-4.52199
0.36859,-4.46049
0.36754,-4.41152
0.36658,-4.35363
0.36556,-4.30166
0.36457,-4.26012
0.36361,-4.21236
0.36256,-4.18418
0.36154,-4.15366
0.36056,-4.12771
0.35959,-4.12605
0.35858,-4.11521
0.35752,-4.11217
0.35656,-4.12579
0.35558,-4.12478
0.35455,-4.14628
0.35353,-4.16736
0.35253,-4.17923
0.35155,-4.20981
0.35054,-4.23741
0.34958,-4.27244
0.34856,-4.31113
0.34758,-4.36015
0.34653,-4.41514
0.34558,-4.47071
0.3446,-4.52362
0.34355,-4.60399
0.34257,-4.6715
0.34153,-4.74967
0.34052,-4.84724
0.33953,-4.93058
0.33859,-5.03686
0.33755,-5.1523
0.33653,-5.26629
0.33555,-5.39368
0.33455,-5.52955
0.33359,-5.67797
0.33255,-5.83795
0.33158,-5.99096
0.33059,-6.16582
0.32958,-6.33281
0.32859,-6.48807
0.32756,-6.65698
0.32659,-6.79231
0.32561,-6.9208
0.32455,-7.05051
0.32357,-7.15229
0.32257,-7.26314
0.32156,-7.38525
0.32062,-7.50206
0.31953,-7.63835
0.31859,-7.77059
0.31762,-7.90808
0.31656,-8.05292
0.31557,-8.1832
0.31457,-8.3286
0.31357,-8.46107
0.31257,-8.58063
0.31151,-8.70641
0.31056,-8.80294
0.30958,-8.89407
0.30855,-8.98476
0.3076,-9.0462
0.30656,-9.10327
0.3056,-9.14588
0.30455,-9.16029
0.30356,-9.15816
0.3026,-9.1213
0.30154,-9.06021
0.30056,-8.97492
0.29957,-8.84735
0.29859,-8.69871
0.29754,-8.51598
0.29659,-8.30869
0.29556,-8.10275
0.29458,-7.88023
0.29359,-7.66232
0.29259,-7.45175
0.29156,-7.2367
0.29058,-7.03379
0.2896,-6.83926
0.28854,-6.65174
0.28754,-6.47835
0.28662,-6.31626
0.28555,-6.16861
0.28456,-6.02912
0.2836,-5.90234
0.28259,-5.79174
0.28156,-5.68912
0.28059,-5.59508
0.27955,-5.51187
0.27857,-5.42936
0.27762,-5.35248
0.27657,-5.2836
0.27556,-5.21327
0.27463,-5.15076
0.27357,-5.09347
0.2726,-5.03868
0.27156,-4.98684
0.27063,-4.9378
0.26956,-4.89155
0.26857,-4.84553
0.26759,-4.80049
0.2666,-4.76031
0.26557,-4.72143
0.26454,-4.68494
0.26358,-4.65406
0.26258,-4.62582
0.26161,-4.60062
0.26058,-4.57895
0.25955,-4.55557
0.25859,-4.53619
0.25758,-4.51896
0.25659,-4.50243
0.25558,-4.48662
0.25457,-4.47056
0.25357,-4.45577
0.25256,-4.4426
0.2516,-4.42872
0.25057,-4.41723
0.24954,-4.40543
0.24857,-4.39443
0.24753,-4.38476
0.24657,-4.37239
0.24556,-4.36098
0.24455,-4.3493
0.24353,-4.33482
0.24257,-4.32123
0.24159,-4.30849
0.24054,-4.29562
0.23956,-4.28436
0.23858,-4.27128
0.2376,-4.25806
0.23656,-4.24417
0.23556,-4.22768
0.23459,-4.21129
0.23357,-4.19344
0.23259,-4.17478
0.23157,-4.15941
0.23058,-4.14382
0.22959,-4.12751
0.22859,-4.11168
0.22758,-4.09452
0.22658,-4.07801
0.22561,-4.06117
0.22459,-4.04344
0.22356,-4.02691
0.22257,-4.00941
0.22155,-3.99102
0.22058,-3.97148
0.21959,-3.94974
0.21858,-3.92847
0.21761,-3.90729
0.21654,-3.88528
0.2156,-3.86272
0.2146,-3.83854
0.21355,-3.81344
0.21257,-3.78804
0.21161,-3.76011
0.21058,-3.73189
0.20956,-3.70482
0.2086,-3.67801
0.20762,-3.6521
0.20654,-3.62755
0.2056,-3.60142
0.20457,-3.57443
0.20363,-3.54733
0.20258,-3.52086
0.20159,-3.49267
0.20059,-3.46468
0.19961,-3.43752
0.19857,-3.4106
0.19761,-3.38342
0.1966,-3.35514
0.1956,-3.32403
0.1946,-3.29137
0.19361,-3.25693
0.19259,-3.22158
0.19157,-3.1885
0.19057,-3.15496
0.18955,-3.12086
0.18859,-3.08817
0.18756,-3.05667
0.18656,-3.02649
0.18557,-2.99669
0.18461,-2.96661
0.1836,-2.93682
0.1826,-2.90632
0.1816,-2.87632
0.18058,-2.84707
0.17961,-2.81688
0.1786,-2.78595
0.17755,-2.75502
0.17657,-2.72357
0.17559,-2.69216
0.17458,-2.65951
0.17361,-2.62698
0.17258,-2.59307
0.17157,-2.55822
0.17059,-2.52317
0.1696,-2.48796
0.16861,-2.45339
0.16756,-2.42086
0.16659,-2.38914
0.16557,-2.35796
0.16455,-2.32691
0.16359,-2.29491
0.1626,-2.26346
0.16158,-2.23233
0.16059,-2.20062
0.1596,-2.16803
0.15861,-2.13605
0.15758,-2.1046
0.15654,-2.07329
0.15559,-2.04179
0.15463,-2.01095
0.15361,-1.98149
0.1526,-1.95339
0.15157,-1.92601
0.15059,-1.89888
0.14963,-1.87221
0.14856,-1.84564
0.14758,-1.81865
0.14662,-1.793
0.14558,-1.76884
0.14456,-1.74513
0.14364,-1.72217
0.14258,-1.69923
0.14161,-1.67721
0.1406,-1.65721
0.13958,-1.63821
0.1386,-1.62039
0.13761,-1.60326
0.13659,-1.58624
0.13555,-1.56989
0.1346,-1.55329
0.13363,-1.53648
0.13259,-1.51997
0.13163,-1.50402
0.13057,-1.48809
0.12957,-1.47224
0.1286,-1.45647
0.12758,-1.44147
0.12661,-1.4271
0.1256,-1.41315
0.12457,-1.39947
0.12359,-1.38555
0.12259,-1.37261
0.12159,-1.35948
0.1206,-1.34461
0.11956,-1.32922
0.11861,-1.31637
0.11762,-1.30482
0.11656,-1.29365
0.11554,-1.28276
0.11459,-1.27225
0.1136,-1.26184
0.11259,-1.25116
0.1116,-1.24079
0.11059,-1.23086
0.10958,-1.22141
0.10861,-1.21237
0.10757,-1.20367
0.10656,-1.19521
0.10564,-1.18677
0.10464,-1.17832
0.10362,-1.17045
0.10259,-1.16293
0.10156,-1.15551
0.10059,-1.14851
0.09959,-1.14145
0.0986,-1.13493
0.09756,-1.12826
0.09657,-1.12162
0.0956,-1.11525
0.09459,-1.10883
0.09361,-1.10268
0.09258,-1.09658
0.09157,-1.09043
0.09062,-1.08452
0.08959,-1.07861
0.08862,-1.07269
0.08755,-1.06695
0.0866,-1.06135
0.08559,-1.05565
0.08459,-1.05023
0.08355,-1.04479
0.08259,-1.03939
0.08158,-1.0341
0.08057,-1.02892
0.07961,-1.02375
0.07862,-1.01857
0.07763,-1.01335
0.07658,-1.00812
0.0756,-1.0029
0.07458,-0.99793
0.07362,-0.99322
0.07263,-0.98836
0.07158,-0.98391
0.07059,-0.97919
0.0696,-0.97472
0.06857,-0.97034
0.06764,-0.96595
0.06659,-0.96157
0.06558,-0.95737
0.06463,-0.95308
0.0636,-0.94893
0.06261,-0.94485
0.06158,-0.94068
0.06061,-0.93669
0.05962,-0.93272
0.05856,-0.92885
0.05761,-0.92486
0.05661,-0.92099
0.05557,-0.9171
0.05462,-0.91338
0.05359,-0.90961
0.05254,-0.90599
0.05155,-0.9023
0.05062,-0.89872
0.04962,-0.89517
0.04857,-0.89163
0.04755,-0.88827
0.04659,-0.88484
0.04561,-0.88138
0.04455,-0.87814
0.04356,-0.87473
0.04257,-0.87143
0.0416,-0.86814
0.04062,-0.8648
0.03959,-0.86166
0.03859,-0.85838
0.03757,-0.85522
0.03659,-0.85215
0.03561,-0.84902
0.03457,-0.84589
0.03359,-0.84303
0.03262,-0.83986
0.03164,-0.83692
0.03061,-0.83392
0.0296,-0.83107
0.0286,-0.82811
0.02758,-0.82531
0.02661,-0.82246
0.02556,-0.81972
0.02458,-0.81695
0.02355,-0.81431
0.02259,-0.8115
0.02157,-0.80874
0.0206,-0.80613
0.0196,-0.80345
0.01854,-0.80074
0.01763,-0.79816
0.0166,-0.79558
0.01559,-0.79296
0.0146,-0.79051
0.01357,-0.78797
0.0126,-0.78558
0.01158,-0.78306
0.01058,-0.78063
0.00957,-0.77826
0.00858,-0.77577
0.00764,-0.77349
0.00663,-0.77119
0.00561,-0.76882
0.00461,-0.76655
0.00356,-0.76432
0.00263,-0.76198
0.0016,-0.75979
5.99E-04,-0.75749
-4.25E-04,-0.75539
-0.00138,-0.75319
-0.00241,-0.75102
-0.00349,-0.74942
-0.00452,-0.74702
-0.00551,-0.74499
-0.00653,-0.74276
-0.00753,-0.74079
-0.00856,-0.73873
-0.00952,-0.73668
-0.01052,-0.73458
-0.0115,-0.73273
-0.01248,-0.73068
-0.01348,-0.7287
-0.01452,-0.72679
-0.01551,-0.72489
-0.01651,-0.72296
-0.0175,-0.72103
-0.0185,-0.71904
-0.01954,-0.71724
-0.0205,-0.71528
-0.02146,-0.71344
-0.02253,-0.71157
-0.02349,-0.70973
-0.02451,-0.70796
-0.02551,-0.70611
-0.02651,-0.70435
-0.02746,-0.7026
-0.02847,-0.70088
-0.0295,-0.69911
-0.03048,-0.69749
-0.03152,-0.69567
-0.03254,-0.69402
-0.0335,-0.69233
-0.03451,-0.69065
-0.03551,-0.689
-0.03647,-0.68735
-0.03746,-0.68576
-0.03851,-0.68414
-0.0395,-0.68255
-0.04049,-0.68094
-0.04151,-0.67947
-0.04248,-0.67786
-0.04351,-0.67636
-0.04449,-0.6747
-0.0455,-0.67308
-0.0465,-0.67154
-0.04749,-0.66997
-0.04845,-0.66845
-0.04948,-0.66697
-0.05048,-0.66534
-0.05152,-0.66397
-0.05248,-0.66245
-0.05345,-0.661
-0.05449,-0.65956
-0.05552,-0.65809
-0.05651,-0.65674
-0.05751,-0.65535
-0.05847,-0.65394
-0.0595,-0.65253
-0.06048,-0.65113
-0.06149,-0.64978
-0.0625,-0.64848
-0.06346,-0.64722
-0.06451,-0.64601
-0.0655,-0.64472
-0.06644,-0.64351
-0.06746,-0.6422
-0.06853,-0.64085
-0.06956,-0.63961
-0.07045,-0.63832
-0.07149,-0.63713
-0.07251,-0.63592
-0.07346,-0.63471
-0.07452,-0.63341
-0.07545,-0.63243
-0.07648,-0.63115
-0.07755,-0.63002
-0.0785,-0.62892
-0.07947,-0.62777
-0.08047,-0.62672
-0.08147,-0.62561
-0.0825,-0.62443
-0.08351,-0.62346
-0.08448,-0.62231
-0.08551,-0.62127
-0.08648,-0.62028
-0.08747,-0.61919
-0.08848,-0.61824
-0.0895,-0.61722
-0.09048,-0.61619
-0.09148,-0.61531
-0.09248,-0.61423
-0.09352,-0.61343
-0.0945,-0.61248
-0.09548,-0.61155
-0.0965,-0.61059
-0.09743,-0.6098
-0.09852,-0.60889
-0.09946,-0.60813
-0.1005,-0.60723
-0.10151,-0.60652
-0.10251,-0.60566
-0.10345,-0.60492
-0.10452,-0.60414
-0.1055,-0.60348
-0.10647,-0.60277
-0.10749,-0.60214
-0.10851,-0.60142
-0.10949,-0.60069
-0.11049,-0.60009
-0.1115,-0.59932
-0.11252,-0.5987
-0.11348,-0.59804
-0.11445,-0.59751
-0.1155,-0.59688
-0.1165,-0.59638
-0.11746,-0.59573
-0.11851,-0.5953
-0.11947,-0.59472
-0.12048,-0.59431
-0.12146,-0.59375
-0.12249,-0.59329
-0.12353,-0.59297
-0.1245,-0.5924
-0.12541,-0.59201
-0.12647,-0.59166
-0.12749,-0.59132
-0.12849,-0.59094
-0.12948,-0.59065
-0.13051,-0.59033
-0.13144,-0.59009
-0.1325,-0.58975
-0.13349,-0.58956
-0.13447,-0.58936
-0.13551,-0.58901
-0.13651,-0.58896
-0.13749,-0.58873
-0.13844,-0.58852
-0.13948,-0.58849
-0.14045,-0.58838
-0.14147,-0.58822
-0.14249,-0.5882
-0.1435,-0.58814
-0.14451,-0.58809
-0.1455,-0.58808
-0.1465,-0.588
-0.14748,-0.58815
-0.14848,-0.58806
-0.14947,-0.58823
-0.15047,-0.58832
-0.15149,-0.58837
-0.15246,-0.58848
-0.15349,-0.58861
-0.15444,-0.58863
-0.15547,-0.58884
-0.15649,-0.58893
-0.15751,-0.58912
-0.15849,-0.58935
-0.15949,-0.58962
-0.16051,-0.5899
-0.1615,-0.59011
-0.16247,-0.59049
-0.16346,-0.59075
-0.16444,-0.59101
-0.16548,-0.59141
-0.16651,-0.59184
-0.1675,-0.59219
-0.16849,-0.59266
-0.16948,-0.59301
-0.17051,-0.5934
-0.17152,-0.59391
-0.17246,-0.59431
-0.17347,-0.59476
-0.1745,-0.59531
-0.17545,-0.5957
-0.17647,-0.59625
-0.17751,-0.59677
-0.17845,-0.59732
-0.1795,-0.59787
-0.18048,-0.59841
-0.18149,-0.59902
-0.18249,-0.59947
-0.18348,-0.60013
-0.18452,-0.60071
-0.18549,-0.60134
-0.18649,-0.60196
-0.18747,-0.60269
-0.18848,-0.60323
-0.18945,-0.60398
-0.19049,-0.60468
-0.19153,-0.60533
-0.19249,-0.60608
-0.19343,-0.60681
-0.19447,-0.60754
-0.19548,-0.60831
-0.19648,-0.60904
-0.19748,-0.60979
-0.19844,-0.61044
-0.19952,-0.61114
-0.2005,-0.61201
-0.20149,-0.61278
-0.20253,-0.61354
-0.2035,-0.61428
-0.20449,-0.61508
-0.20547,-0.61587
-0.20649,-0.61673
-0.20744,-0.61746
-0.2085,-0.61842
-0.20948,-0.6192
-0.21046,-0.62002
-0.21145,-0.62089
-0.21249,-0.62164
-0.21351,-0.62243
-0.21449,-0.62319
-0.21546,-0.62401
-0.21645,-0.62489
-0.21745,-0.6257
-0.21845,-0.62656
-0.21943,-0.62745
-0.2205,-0.62823
-0.22148,-0.62909
-0.22248,-0.62996
-0.22345,-0.63075
-0.22451,-0.63165
-0.22549,-0.63249
-0.22646,-0.63322
-0.22746,-0.63414
-0.22846,-0.6349
-0.22943,-0.63576
-0.23049,-0.63652
-0.23151,-0.6373
-0.23249,-0.63818
-0.23342,-0.63899
-0.23451,-0.63973
-0.23551,-0.64057
-0.23647,-0.6413
-0.2375,-0.64216
-0.23846,-0.64292
-0.23948,-0.6437
-0.24051,-0.64443
-0.24147,-0.6452
-0.24245,-0.64586
-0.24347,-0.64664
-0.2445,-0.6473
-0.24546,-0.64809
-0.24646,-0.6488
-0.24745,-0.64947
-0.24849,-0.65015
-0.24951,-0.65091
-0.25047,-0.65143
-0.25143,-0.65225
-0.25244,-0.65285
-0.2535,-0.65355
-0.25444,-0.65419
-0.25544,-0.65484
-0.25644,-0.65542
-0.25744,-0.6561
-0.25843,-0.65668
-0.25944,-0.65732
-0.26047,-0.65784
-0.2615,-0.6584
-0.26247,-0.65896
-0.26345,-0.65947
-0.26449,-0.66002
-0.26545,-0.66051
-0.26645,-0.66101
-0.26746,-0.66155
-0.26843,-0.66206
-0.26947,-0.66248
-0.27047,-0.66294
-0.27144,-0.66338
-0.27249,-0.66381
-0.27347,-0.66426
-0.27449,-0.66457
-0.27547,-0.66504
-0.27644,-0.66533
-0.27745,-0.66578
-0.27844,-0.66612
-0.27944,-0.66648
-0.28047,-0.66679
-0.28143,-0.66717
-0.28244,-0.66746
-0.28345,-0.66778
-0.28449,-0.66801
-0.28547,-0.66827
-0.28645,-0.66851
-0.28743,-0.66868
-0.28849,-0.66887
-0.28946,-0.6691
-0.2905,-0.66928
-0.29148,-0.66946
-0.29246,-0.66962
-0.29349,-0.66974
-0.29444,-0.66993
-0.29549,-0.66998
-0.29645,-0.67016
-0.29745,-0.6702
-0.29843,-0.67035
-0.29946,-0.6704
-0.30045,-0.67043
-0.30145,-0.67044
-0.30245,-0.67054
-0.30343,-0.67047
-0.30447,-0.6705
-0.30542,-0.67055
-0.30644,-0.6705
-0.30745,-0.67046
-0.30846,-0.67041
-0.30948,-0.67039
-0.31045,-0.67037
-0.31146,-0.67029
-0.31244,-0.67017
-0.31344,-0.67016
-0.31446,-0.66993
-0.31544,-0.66986
-0.31644,-0.66965
-0.31748,-0.66949
-0.31847,-0.66931
-0.31944,-0.66913
-0.32043,-0.66895
-0.32144,-0.66875
-0.32242,-0.66852
-0.32344,-0.66832
-0.32443,-0.66811
-0.32543,-0.66787
-0.32646,-0.66758
-0.32745,-0.6673
-0.32846,-0.66706
-0.32947,-0.66672
-0.33047,-0.66639
-0.33148,-0.66611
-0.3324,-0.66576
-0.33346,-0.66538
-0.33444,-0.66515
-0.33544,-0.66473
-0.33645,-0.66447
-0.33746,-0.66407
-0.33847,-0.66376
-0.33943,-0.6633
-0.34045,-0.66299
-0.34144,-0.66258
-0.34245,-0.66221
-0.34347,-0.66171
-0.34443,-0.66132
-0.34547,-0.66092
-0.34642,-0.6605
-0.34746,-0.66011
-0.34845,-0.65974
-0.34942,-0.65938
-0.35042,-0.6589
-0.35143,-0.65843
-0.35247,-0.658
-0.35344,-0.6575
-0.35445,-0.65703
-0.35546,-0.65651
-0.35642,-0.65599
-0.35745,-0.65541
-0.3585,-0.6549
-0.35941,-0.65432
-0.36049,-0.65388
-0.36143,-0.65333
-0.36243,-0.65287
-0.36349,-0.65226
-0.36446,-0.65169
-0.36547,-0.65113
-0.36645,-0.65061
-0.36742,-0.65003
-0.36844,-0.64948
-0.36945,-0.64897
-0.37044,-0.64841
-0.37144,-0.64785
-0.37244,-0.64725
-0.37346,-0.64669
-0.37444,-0.6461
-0.37547,-0.64556
-0.37642,-0.64498
-0.37743,-0.64438
-0.37841,-0.64371
-0.37945,-0.6432
-0.38042,-0.64256
-0.38141,-0.64199
-0.38241,-0.64136
-0.38338,-0.64081
-0.38442,-0.64012
-0.38541,-0.63954
-0.38647,-0.63884
-0.3875,-0.63828
-0.38845,-0.63762
-0.38941,-0.63704
-0.39044,-0.63638
-0.39145,-0.63576
-0.39245,-0.63512
-0.39341,-0.63453
-0.39443,-0.63388
-0.39545,-0.63327
-0.39639,-0.63259
-0.39747,-0.63195
-0.39844,-0.63137
-0.39943,-0.63069
-0.40015,-0.63031
-0.40024,-0.63011
-0.39984,-0.62796
-0.39881,-0.62512
-0.39782,-0.62239
-0.39683,-0.61988
-0.39582,-0.61748
-0.39482,-0.61511
-0.39385,-0.61283
-0.39284,-0.61067
-0.39186,-0.60842
-0.39085,-0.60627
-0.38985,-0.60423
-0.38885,-0.60221
-0.38789,-0.60026
-0.38687,-0.59822
-0.38583,-0.5963
-0.38486,-0.59434
-0.38382,-0.59253
-0.38284,-0.59067
-0.38182,-0.58885
-0.38087,-0.58701
-0.37983,-0.58526
-0.37886,-0.58345
-0.37784,-0.58175
-0.37686,-0.57996
-0.37585,-0.57822
-0.37488,-0.57654
-0.37388,-0.5749
-0.37284,-0.57321
-0.37185,-0.57161
-0.37081,-0.56991
-0.36985,-0.56831
-0.36887,-0.56669
-0.36784,-0.56506
-0.3669,-0.56356
-0.36588,-0.56192
-0.36484,-0.56031
-0.36385,-0.55872
-0.36287,-0.55718
-0.36187,-0.5556
-0.36088,-0.5541
-0.35984,-0.55251
-0.35883,-0.55108
-0.35783,-0.54956
-0.35685,-0.54806
-0.35583,-0.54656
-0.35483,-0.54513
-0.35384,-0.54367
-0.35285,-0.54223
-0.35187,-0.54074
-0.35085,-0.53932
-0.34987,-0.53785
-0.34884,-0.53645
-0.34782,-0.5351
-0.34682,-0.53368
-0.34583,-0.5322
-0.34482,-0.53079
-0.34384,-0.52939
-0.34283,-0.528
-0.34186,-0.52658
-0.34087,-0.52516
-0.33982,-0.52378
-0.33882,-0.52235
-0.33791,-0.52096
-0.33685,-0.51956
-0.33585,-0.51819
-0.33485,-0.51676
-0.33381,-0.51535
-0.33283,-0.514
-0.33183,-0.51264
-0.3308,-0.51124
-0.32983,-0.50984
-0.32887,-0.50844
-0.32782,-0.50706
-0.3269,-0.50564
-0.32581,-0.50422
-0.32485,-0.50285
-0.32384,-0.50146
-0.32284,-0.50005
